Time,Message
10:39:33 AM,"[SNAPSHOT] Stats Scoring -> Scoring Average: mean=3.8845334813073773, stdDev=1.2042039242095042"
10:39:33 AM,"[SNAPSHOT] Stats Scoring -> Birdie Chances Created: mean=0.32632651593596074, stdDev=2.2920006784726352"
10:39:33 AM,"[SNAPSHOT] Stats Scoring -> Scoring: Approach <100 SG: mean=-0.09395121951219514, stdDev=0.9484875782663414"
10:39:33 AM,"[SNAPSHOT] Stats Scoring -> Scoring: Approach <150 FW SG: mean=0.007317073170731701, stdDev=0.4944609801952281"
10:39:33 AM,"[SNAPSHOT] Stats Scoring -> Scoring: Approach <150 Rough SG: mean=-0.029268292682926817, stdDev=0.9249038326010851"
10:39:33 AM,"[SNAPSHOT] Stats Scoring -> Scoring: Approach <200 FW SG: mean=0.14063414634146346, stdDev=0.541484923549149"
10:39:33 AM,"[SNAPSHOT] Stats Scoring -> Scoring: Approach >200 FW SG: mean=0.1344878048780487, stdDev=0.6892807056950763"
10:39:33 AM,"[SNAPSHOT] Stats Scoring -> Scoring: Approach >150 Rough SG: mean=0.09014634146341464, stdDev=0.73657537963473"
10:39:33 AM,"[SNAPSHOT] Stats Course Management -> Course Management: Approach <100 Prox: mean=24.489333333333335, stdDev=5.644447260784834"
10:39:33 AM,"[SNAPSHOT] Stats Course Management -> Course Management: Approach <150 FW Prox: mean=32.12486178861789, stdDev=8.26168605060576"
10:39:33 AM,"[SNAPSHOT] Stats Course Management -> Course Management: Approach <150 Rough Prox: mean=23.37594308943089, stdDev=9.725243123347099"
10:39:33 AM,"[SNAPSHOT] Stats Course Management -> Course Management: Approach >150 Rough Prox: mean=19.200747967479675, stdDev=20.76428757115443"
10:39:33 AM,"[SNAPSHOT] Stats Course Management -> Course Management: Approach <200 FW Prox: mean=37.59484552845528, stdDev=8.803701886261964"
10:39:33 AM,"[SNAPSHOT] Stats Course Management -> Course Management: Approach >200 FW Prox: mean=53.35376422764227, stdDev=16.0082483723908"
10:40:24 AM,[LOG] generatePlayerRankings completed successfully
